rank,pattern_id,used_volume,waste_volume,utilization,total_profit,count_J01,count_J02,count_J03,count_J04,count_J05,count_J06,count_J07,num_pieces,source_method,is_valid
1,88,3600000,150000,0.96,35200,0,0,40,0,0,0,0,40,grid,True
2,1241,3448000,302000,0.9194666666666667,35860,0,0,2,2,8,7,6,25,ep_alt_weights,True
3,1146,3434000,316000,0.9157333333333333,35330,1,1,5,1,9,5,0,22,extreme_point,True
4,1318,3394000,356000,0.9050666666666667,35150,0,0,3,5,7,4,3,22,ep_alt_weights,True
5,1461,3388000,362000,0.9034666666666666,35160,0,1,2,4,9,2,1,19,ep_alt_weights,True
6,573,3380000,370000,0.9013333333333333,34950,0,1,2,5,8,3,0,19,extreme_point,True
7,1235,3364000,386000,0.8970666666666667,35110,0,1,0,1,8,8,8,26,ep_alt_weights,True
8,324,3360000,390000,0.896,37800,0,0,0,0,0,0,70,70,grid,True
9,1194,3300000,450000,0.88,33940,0,2,4,2,8,5,0,21,ep_alt_weights,True
10,706,3296000,454000,0.8789333333333333,34020,0,2,4,2,8,4,2,22,extreme_point,True
11,861,3296000,454000,0.8789333333333333,34160,0,0,4,4,8,2,2,20,extreme_point,True
12,751,3274000,476000,0.8730666666666667,33920,2,3,1,2,9,2,2,21,extreme_point,True
13,1221,3256000,494000,0.8682666666666666,33830,0,0,4,3,9,1,2,19,ep_alt_weights,True
14,1028,3242000,508000,0.8645333333333334,33530,0,1,5,3,7,3,4,23,extreme_point,True
15,84,3240000,510000,0.864,31680,0,0,36,0,0,0,0,36,grid,True
16,1057,3240000,510000,0.864,33590,0,0,4,5,6,3,5,23,extreme_point,True
17,1354,3240000,510000,0.864,33400,0,1,2,2,8,7,0,20,ep_alt_weights,True
18,1276,3236000,514000,0.8629333333333333,33670,0,0,0,7,7,2,2,18,ep_alt_weights,True
19,1401,3230000,520000,0.8613333333333333,33320,0,0,3,0,9,8,0,20,ep_alt_weights,True
20,1215,3220000,530000,0.8586666666666667,33380,0,0,0,2,9,7,0,18,ep_alt_weights,True
21,986,3216000,534000,0.8576,33280,0,0,4,0,9,6,2,21,extreme_point,True
22,1355,3216000,534000,0.8576,33320,0,3,4,2,9,0,2,20,ep_alt_weights,True
23,1432,3210000,540000,0.856,33250,0,2,3,1,10,2,0,18,ep_alt_weights,True
24,1439,3210000,540000,0.856,32910,0,1,3,1,7,10,0,22,ep_alt_weights,True
25,1372,3200000,550000,0.8533333333333334,33170,0,4,0,1,10,3,0,18,ep_alt_weights,True
