rank,pattern_id,used_volume,waste_volume,utilization,total_profit,count_J01,count_J02,count_J03,count_J04,count_J05,count_J06,count_J07,num_pieces,source_method,is_valid
1,88,3600000,150000,0.96,35200,0,0,40,0,0,0,0,40,grid,True
2,1057,3464000,286000,0.9237333333333333,35650,1,2,2,3,8,6,0,22,extreme_point,True
3,1278,3454000,296000,0.9210666666666667,35310,1,2,3,1,7,11,0,25,ep_alt_weights,True
4,1461,3430000,320000,0.9146666666666666,35300,0,2,1,2,8,9,0,22,ep_alt_weights,True
5,1192,3420000,330000,0.912,35260,0,1,6,0,10,4,0,21,ep_alt_weights,True
6,1360,3420000,330000,0.912,35300,0,3,2,0,10,6,0,21,ep_alt_weights,True
7,324,3360000,390000,0.896,37800,0,0,0,0,0,0,70,70,grid,True
8,1293,3360000,390000,0.896,34960,0,1,2,2,11,1,0,17,ep_alt_weights,True
9,780,3350000,400000,0.8933333333333333,34460,0,5,1,0,9,7,0,22,extreme_point,True
10,1372,3342000,408000,0.8912,34440,3,2,3,2,9,2,0,21,ep_alt_weights,True
11,705,3340000,410000,0.8906666666666667,34490,0,2,4,5,8,0,0,19,extreme_point,True
12,1236,3340000,410000,0.8906666666666667,34480,0,0,6,0,10,4,0,20,ep_alt_weights,True
13,945,3330000,420000,0.888,34620,1,2,3,0,11,1,2,20,extreme_point,True
14,1332,3304000,446000,0.8810666666666667,34130,0,2,2,3,7,6,3,23,ep_alt_weights,True
15,1321,3290000,460000,0.8773333333333333,34100,0,2,3,2,10,1,0,18,ep_alt_weights,True
16,778,3284000,466000,0.8757333333333334,33960,2,1,0,2,8,7,2,22,extreme_point,True
17,1373,3276000,474000,0.8736,34070,0,0,2,3,9,3,2,19,ep_alt_weights,True
18,896,3274000,476000,0.8730666666666667,33810,1,1,1,1,9,7,0,20,extreme_point,True
19,1175,3262000,488000,0.8698666666666667,34010,0,2,1,5,8,0,4,20,ep_alt_weights,True
20,1101,3260000,490000,0.8693333333333333,33540,0,3,4,0,9,5,0,21,extreme_point,True
21,1354,3260000,490000,0.8693333333333333,33550,0,1,2,1,8,9,0,21,ep_alt_weights,True
22,1398,3260000,490000,0.8693333333333333,33730,1,2,2,3,8,3,2,21,ep_alt_weights,True
23,1232,3250000,500000,0.8666666666666667,33690,0,0,3,1,10,4,0,18,ep_alt_weights,True
24,573,3248000,502000,0.8661333333333333,33570,0,2,2,3,8,4,1,20,extreme_point,True
25,572,3246000,504000,0.8656,33660,0,2,3,2,9,2,2,20,extreme_point,True
26,1433,3246000,504000,0.8656,33240,2,0,3,2,6,10,1,24,ep_alt_weights,True
27,1252,3244000,506000,0.8650666666666667,33560,0,1,2,8,5,2,3,21,ep_alt_weights,True
28,84,3240000,510000,0.864,31680,0,0,36,0,0,0,0,36,grid,True
29,976,3236000,514000,0.8629333333333333,33220,1,3,6,2,6,4,4,26,extreme_point,True
30,1065,3228000,522000,0.8608,33270,2,2,2,3,8,3,0,20,extreme_point,True
31,941,3210000,540000,0.856,33060,0,2,3,2,8,5,0,20,extreme_point,True
32,1193,3210000,540000,0.856,33080,0,3,1,2,8,6,0,20,ep_alt_weights,True
33,1017,3204000,546000,0.8544,33070,1,2,0,5,7,4,0,19,extreme_point,True
34,584,3200000,550000,0.8533333333333334,33000,3,2,0,4,7,4,1,21,extreme_point,True
35,830,3200000,550000,0.8533333333333334,32810,0,2,2,1,7,10,0,22,extreme_point,True
36,1317,3200000,550000,0.8533333333333334,32890,0,0,4,5,6,5,0,20,ep_alt_weights,True
37,1292,3194000,556000,0.8517333333333333,33110,1,2,1,1,10,3,0,18,ep_alt_weights,True
