parameter_name,parameter_value,problem_name,objective_value,total_profit,material_utilization,total_waste_volume,runtime,total_patterns_generated
max_patterns_per_material,20,problem1,1950000,749000,0.9742574257425742,1950000,0.47586607933044434,42
max_patterns_per_material,50,problem1,1950000,749000,0.9742574257425742,1950000,0.7938807010650635,75
max_patterns_per_material,100,problem1,1950000,749000,0.9742574257425742,1950000,1.676069974899292,117
max_patterns_per_material,150,problem1,750000,733000,0.9900990099009901,750000,1.6983659267425537,154
max_patterns_per_material,200,problem1,750000,733000,0.9900990099009901,750000,2.196120500564575,177
scoring_weights,default,problem1,750000,733000,0.9900990099009901,750000,1.9424402713775635,0
scoring_weights,volume_only,problem1,750000,733000,0.9900990099009901,750000,1.5666782855987549,0
scoring_weights,profit_only,problem1,750000,733000,0.9900990099009901,750000,2.1993446350097656,0
scoring_weights,balanced,problem1,750000,733000,0.9900990099009901,750000,2.0844531059265137,0
scoring_weights,contact_heavy,problem1,750000,733000,0.9900990099009901,750000,2.7561299800872803,0
